-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                              aten::add         0.00%       4.465us         0.00%       8.123us       8.123us       1.472us         0.00%       1.472us       1.472us           0 b           0 b       1.50 Kb       1.50 Kb             1                                                             [[1, 50, 7], [7], []]       350.000  
                                              aten::add         0.01%      11.445us         0.01%      16.210us      16.210us       1.056us         0.00%       1.056us       1.056us           0 b           0 b         512 b         512 b             1                                                                    [[13], [], []]        13.000  
                                              aten::add         0.04%      61.552us         0.06%      91.769us       9.177us      12.864us         0.02%      12.864us       1.286us           0 b           0 b       5.00 Kb       5.00 Kb            10                                                             [[1, 1], [1, 51], []]        10.000  
                                              aten::mul         0.04%      58.260us         0.05%      86.680us       8.668us      13.664us         0.02%      13.664us       1.366us           0 b           0 b      35.00 Kb      35.00 Kb            10                                                                 [[], [1, 50, 16]]        10.000  
                                              aten::add         0.00%       5.602us         0.01%       9.148us       9.148us       1.024us         0.00%       1.024us       1.024us           0 b           0 b         512 b         512 b             1                                                                     [[7], [], []]         7.000  
                                            aten::randn         0.02%      27.188us         0.24%     383.736us     383.736us       0.000us         0.00%       1.440us       1.440us           0 b           0 b         512 b           0 b             1                                                              [[], [], [], [], []]            --  
                                            aten::empty         2.88%       4.691ms         3.05%       4.978ms       2.137us       0.000us         0.00%       0.000us       0.000us       3.57 Kb       3.57 Kb       1.30 Gb       1.30 Gb          2330                                                          [[], [], [], [], [], []]            --  
                                           Unrecognized         0.36%     584.527us         0.36%     584.527us     292.263us       1.151us         0.00%       1.151us       0.576us           0 b           0 b           0 b           0 b             2                                                                                []            --  
                                          aten::normal_         0.01%      15.285us         0.03%      42.087us      42.087us       1.440us         0.00%       1.440us       1.440us           0 b           0 b           0 b           0 b             1                                                             [[1, 13], [], [], []]            --  
                                  cudaStreamIsCapturing         0.00%       5.579us         0.00%       5.579us       0.558us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10                                                                                []            --  
                                       cudaLaunchKernel        17.96%      29.302ms        17.96%      29.302ms       2.623us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         11170                                                                                []            --  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us       2.752us         0.00%       2.752us       1.376us           0 b           0 b           0 b           0 b             2                                                                                []            --  
                                             aten::rand         0.01%       8.944us         0.03%      44.820us      14.940us       0.000us         0.00%       6.880us       2.293us           0 b           0 b       1.72 Mb           0 b             3                                                              [[], [], [], [], []]            --  
                                         aten::uniform_         0.01%      13.542us         0.02%      26.711us       8.904us       6.880us         0.01%       6.880us       2.293us           0 b           0 b           0 b           0 b             3                                                    [[1, 3, 224, 224], [], [], []]            --  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us       6.880us         0.01%       6.880us       2.293us           0 b           0 b           0 b           0 b             3                                                                                []            --  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us      -4.94 Kb      -4.94 Kb      -8.00 Gb      -8.00 Gb         13744                                                                                []            --  
                                               aten::to         0.00%       0.746us         0.00%       0.746us       0.373us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2                                                     [[1, 48], [], [], [], [], []]            --  
                                       aten::lift_fresh         0.00%       0.388us         0.00%       0.388us       0.194us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2                                                                         [[1, 48]]            --  
                                          aten::detach_         0.00%       2.681us         0.00%       3.845us       1.922us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2                                                                         [[1, 48]]            --  
                                                detach_         0.00%       1.164us         0.00%       1.164us       0.582us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2                                                                         [[1, 48]]            --  
                                               aten::to         0.00%       5.901us         0.03%      57.071us      28.536us       0.000us         0.00%       0.640us       0.320us           0 b           0 b       1.00 Kb           0 b             2                                             [[1, 48], [], [], [], [], [], [], []]            --  
                                         aten::_to_copy         0.01%      15.062us         0.04%      68.087us      22.696us       0.000us         0.00%       1.984us       0.661us           0 b           0 b       1.50 Kb           0 b             3                                                 [[1, 48], [], [], [], [], [], []]            --  
                                    aten::empty_strided         1.70%       2.769ms         1.70%       2.769ms       2.291us       0.000us         0.00%       0.000us       0.000us       1.37 Kb       1.37 Kb     850.43 Mb     850.43 Mb          1209                                                          [[], [], [], [], [], []]            --  
                                            aten::copy_         0.01%      11.854us         0.03%      43.048us      14.349us       1.984us         0.00%       1.984us       0.661us           0 b           0 b           0 b           0 b             3                                                            [[1, 48], [1, 48], []]            --  
