-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes   Total FLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                                              aten::mul         0.58%     939.776us         1.06%       1.718ms       9.546us     208.574us         0.31%     209.726us       1.165us           0 b           0 b     121.46 Mb     121.46 Mb           180                                                             [[1, 8, 51, 867], []]  63672480.000  
                                             aten::gelu         0.21%     344.690us         0.35%     567.678us       7.008us     192.964us         0.29%     192.964us       2.382us           0 b           0 b     170.23 Mb     170.23 Mb            81                                                              [[1, 256, 4304], []]            --  
                                              aten::add         0.37%     597.422us         0.63%       1.017ms       5.649us     191.330us         0.28%     191.330us       1.063us           0 b           0 b       4.48 Mb       4.48 Mb           180                                            [[1, 1, 51, 256], [1, 1, 51, 256], []]   2350080.000  
                                              aten::add         0.09%     137.777us         0.14%     232.598us       6.461us     189.443us         0.28%     189.443us       5.262us           0 b           0 b     144.00 Mb     144.00 Mb            36                                              [[1, 816, 2048], [1, 816, 2048], []]  60162048.000  
                                              aten::mul         0.09%     138.121us         0.14%     227.864us       6.158us     175.266us         0.26%     175.266us       4.737us           0 b           0 b     235.88 Mb     235.88 Mb            37                                                          [[1, 816, 2048], [2048]]  61833216.000  
                                              aten::mul         0.10%     169.924us         0.16%     261.230us       7.256us     174.469us         0.26%     174.469us       4.846us           0 b           0 b     144.00 Mb     144.00 Mb            36                                              [[1, 8, 816, 256], [1, 1, 816, 256]]  60162048.000  
                                             aten::mean         0.14%     232.604us         0.20%     325.916us       8.809us     172.319us         0.25%     172.319us       4.657us           0 b           0 b     129.50 Kb     129.50 Kb            37                                                      [[1, 816, 2048], [], [], []]            --  
                                              aten::pow         0.13%     213.702us         0.20%     317.538us       8.582us     170.115us         0.25%     170.115us       4.598us           0 b           0 b     235.88 Mb     235.88 Mb            37                                                              [[1, 816, 2048], []]            --  
                                            aten::copy_         0.12%     194.267us         0.24%     392.705us       4.848us     159.040us         0.24%     159.040us       1.963us           0 b           0 b           0 b           0 b            81                                          [[1, 256, 16, 72], [1, 256, 16, 72], []]            --  
                                            aten::copy_         0.03%      54.334us         0.06%      98.780us       5.488us     155.428us         0.23%     155.428us       8.635us           0 b           0 b           0 b           0 b            18                                          [[1, 8, 816, 816], [1, 8, 816, 816], []]            --  
                                aten::cudnn_convolution         0.08%     136.882us         0.11%     182.126us      60.709us     119.456us         0.18%     119.456us      39.819us           0 b           0 b       4.50 Mb       4.50 Mb             3                 [[1, 3, 224, 224], [1152, 3, 14, 14], [], [], [], [], [], [], []]            --  
                                              aten::mul         0.06%      92.799us         0.09%     142.406us       7.911us     108.514us         0.16%     108.514us       6.029us           0 b           0 b     182.88 Mb     182.88 Mb            18                                                            [[1, 8, 816, 816], []]  95883264.000  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     101.730us         0.15%     101.730us       0.450us           0 b           0 b           0 b           0 b           226                                                                                []            --  
                                            aten::addmm         0.05%      86.654us         0.10%     159.658us      15.966us     100.257us         0.15%     100.257us      10.026us           0 b           0 b       1.95 Mb      -8.05 Mb            10                                        [[1024], [50, 1024], [1024, 1024], [], []]  1048576000.000  
                                            aten::copy_         0.04%      57.719us         0.07%     110.161us       6.120us      80.802us         0.12%      80.802us       4.489us           0 b           0 b           0 b           0 b            18                                          [[1, 816, 8, 256], [1, 816, 8, 256], []]            --  
                                              aten::add         0.05%      77.574us         0.08%     123.578us       6.865us      79.839us         0.12%      79.839us       4.435us           0 b           0 b      72.00 Mb      72.00 Mb            18                                          [[1, 8, 816, 256], [1, 8, 816, 256], []]  30081024.000  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
Self CPU time total: 161.904ms
Self CUDA time total: 67.658ms
